Module                  Size  Used by
crypto_simd            16384  1 aesni_intel
mac80211             1384448  2 rtw88_pci,rtw88_core
cryptd                 28672  3 crypto_simd,ghash_clmulni_intel
snd                   139264  25 snd_ctl_led,snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_pcm
i2c_i801               45056  0
libarc4                16384  1 mac80211
spi_nor               135168  0
intel_cstate           20480  0
drm_buddy              20480  1 i915
intel_uncore          225280  0
pcspkr                 16384  0
mtd                    94208  3 spi_nor
i2c_smbus              20480  1 i2c_i801
cfg80211             1155072  2 rtw88_core,mac80211
soundcore              16384  2 snd_ctl_led,snd
processor_thermal_device_pci_legacy    16384  0
mei_me                 53248  2
ttm                    98304  1 i915
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
rfkill                 36864  9 hp_wmi,bluetooth,cfg80211
mei                   176128  5 mei_hdcp,mei_pxp,mei_me
intel_lpss_pci         28672  0
processor_thermal_rfim    20480  1 processor_thermal_device
drm_display_helper    196608  1 i915
processor_thermal_mbox    16384  2 processor_thermal_rfim,processor_thermal_device
intel_lpss             16384  1 intel_lpss_pci
cec                    90112  2 drm_display_helper,i915
processor_thermal_rapl    20480  1 processor_thermal_device
idma64                 20480  0
intel_rapl_common      36864  2 intel_rapl_msr,processor_thermal_rapl
intel_gtt              28672  1 i915
igen6_edac             32768  0
intel_soc_dts_iosf     20480  1 processor_thermal_device_pci_legacy
tpm_crb                24576  0
i2c_hid_acpi           16384  0
vfat                   24576  1
wmi                    40960  2 hp_wmi,wmi_bmof
fat                   102400  1 vfat
i2c_hid                40960  1 i2c_hid_acpi
tpm_tis                16384  0
tpm_tis_core           32768  1 tpm_tis
tpm                   106496  3 tpm_tis,tpm_crb,tpm_tis_core
int3400_thermal        24576  0
rng_core               20480  1 tpm
video                  61440  1 i915
int3403_thermal        20480  0
int340x_thermal_zone    20480  2 int3403_thermal,processor_thermal_device
acpi_thermal_rel       16384  1 int3400_thermal
wireless_hotkey        16384  0
dptf_pch_fivr          16384  0
acpi_pad               24576  0
mac_hid                16384  0
pkcs8_key_parser       16384  0
crypto_user            20480  0
fuse                  188416  3
bpf_preload            24576  0
ip_tables              32768  5 iptable_filter,iptable_security,iptable_raw,iptable_nat,iptable_mangle
x_tables               61440  12 ip6table_filter,ip6table_raw,iptable_filter,iptable_security,ip6table_nat,ip6_tables,iptable_raw,ip_tables,iptable_nat,ip6table_mangle,ip6table_security,iptable_mangle
ext4                 1056768  1
crc32c_generic         16384  0
crc16                  16384  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  192512  1 ext4
nvme                   65536  2
serio_raw              20480  0
atkbd                  36864  0
nvme_core             217088  3 nvme
libps2                 24576  1 atkbd
nvme_common            24576  1 nvme_core
vivaldi_fmap           16384  1 atkbd
spi_intel_pci          16384  0
crc32c_intel           24576  3
xhci_pci               24576  0
xhci_pci_renesas       24576  1 xhci_pci
vmd                    24576  0
spi_intel              32768  1 spi_intel_pci
i8042                  53248  0
serio                  28672  4 serio_raw,atkbd,i8042
